month,telco,drop_call_rate
2013-04,Singtel,0.5
2013-04,M1,0.25
2013-04,Starhub,0.25
2013-05,Singtel,0.46
2013-05,M1,0.26
2013-05,Starhub,0.27
2013-06,Singtel,0.41
2013-06,M1,0.26
2013-06,Starhub,0.29
2013-07,Singtel,0.42
2013-07,M1,0.27
2013-07,Starhub,0.28
2013-08,Singtel,0.41
2013-08,M1,0.27
2013-08,Starhub,0.27
2013-09,Singtel,0.41
2013-09,M1,0.28
2013-09,Starhub,0.29
2013-10,Singtel,0.42
2013-10,M1,0.25
2013-10,Starhub,0.3
2013-11,Singtel,0.41
2013-11,M1,0.17
2013-11,Starhub,0.32
2013-12,Singtel,0.34
2013-12,M1,0.16
2013-12,Starhub,0.28
2014-01,Singtel,0.35
2014-01,M1,0.19
2014-01,Starhub,0.18
2014-02,Singtel,0.37
2014-02,M1,0.22
2014-02,Starhub,0.17
2014-03,Singtel,0.38
2014-03,M1,0.22
2014-03,Starhub,0.18
2014-04,Singtel,0.33
2014-04,M1,0.23
2014-04,Starhub,0.18
2014-05,Singtel,0.32
2014-05,M1,0.25
2014-05,Starhub,0.2
2014-06,Singtel,0.33
2014-06,M1,0.25
2014-06,Starhub,0.21
2014-07,Singtel,0.32
2014-07,M1,0.23
2014-07,Starhub,0.19
2014-08,Singtel,0.31
2014-08,M1,0.22
2014-08,Starhub,0.17
2014-09,Singtel,0.31
2014-09,M1,0.23
2014-09,Starhub,0.17
2014-10,Singtel,0.32
2014-10,M1,0.24
2014-10,Starhub,0.17
2014-11,Singtel,0.32
2014-11,M1,0.25
2014-11,Starhub,0.17
2014-12,Singtel,0.33
2014-12,M1,0.25
2014-12,Starhub,0.16
2015-01,Singtel,0.35
2015-01,M1,0.25
2015-01,Starhub,0.16
2015-02,Singtel,0.33
2015-02,M1,0.23
2015-02,Starhub,0.15
2015-03,Singtel,0.33
2015-03,M1,0.22
2015-03,Starhub,0.16
2015-04,Singtel,0.32
2015-04,M1,0.22
2015-04,Starhub,0.16
2015-05,Singtel,0.31
2015-05,M1,0.22
2015-05,Starhub,0.15
2015-06,Singtel,0.3
2015-06,M1,0.22
2015-06,Starhub,0.14
2015-07,Singtel,0.3
2015-07,M1,0.22
2015-07,Starhub,0.14
2015-08,Singtel,0.3
2015-08,M1,0.21
2015-08,Starhub,0.14
2015-09,Singtel,0.3
2015-09,M1,0.21
2015-09,Starhub,0.13
2015-10,Singtel,0.32
2015-10,M1,0.22
2015-10,Starhub,0.13
2015-11,Singtel,0.34
2015-11,M1,0.21
2015-11,Starhub,0.13
2015-12,Singtel,0.38
2015-12,M1,0.22
2015-12,Starhub,0.13
2016-01,Singtel,0.34
2016-01,M1,0.21
2016-01,Starhub,0.13
2016-02,Singtel,0.33
2016-02,M1,0.2
2016-02,Starhub,0.14
2016-03,Singtel,0.33
2016-03,M1,0.2
2016-03,Starhub,0.15
2016-04,Singtel,0.32
2016-04,M1,0.22
2016-04,Starhub,0.15
2016-05,Singtel,0.31
2016-05,M1,0.24
2016-05,Starhub,0.15
2016-06,Singtel,0.31
2016-06,M1,0.24
2016-06,Starhub,0.14
